Date,Location,City,SO2 µg/m3,Nox µg/m3,RSPM µg/m3,SPM,AQI
01-01-2025 00:00,Anand Vihar (Delhi),Delhi,10.37,30.58,100.28,54.99,243.2
01-01-2025 01:00,Anand Vihar (Delhi),Delhi,9.43,27.1,53.32,75.58,264.3
01-01-2025 02:00,Anand Vihar (Delhi),Delhi,7.19,28.58,78.45,56.96,256.0
01-01-2025 03:00,Anand Vihar (Delhi),Delhi,4.72,20.93,90.74,41.33,149.6
01-01-2025 04:00,Anand Vihar (Delhi),Delhi,8.21,24.72,95.05,60.65,231.0
01-01-2025 05:00,Anand Vihar (Delhi),Delhi,8.37,30.43,83.12,65.03,260.3
01-01-2025 06:00,Anand Vihar (Delhi),Delhi,11.78,26.67,112.62,96.52,275.0
01-01-2025 07:00,Anand Vihar (Delhi),Delhi,16.32,52.05,123.81,83.42,397.0
01-01-2025 08:00,Anand Vihar (Delhi),Delhi,14.2,39.09,120.45,84.17,381.9
01-01-2025 09:00,Anand Vihar (Delhi),Delhi,15.52,47.5,139.02,97.27,358.9
01-01-2025 10:00,Anand Vihar (Delhi),Delhi,9.78,25.55,113.01,67.16,275.8
01-01-2025 11:00,Anand Vihar (Delhi),Delhi,13.1,27.72,106.48,70.08,268.4
01-01-2025 12:00,Anand Vihar (Delhi),Delhi,9.68,34.37,97.99,76.42,245.9
01-01-2025 13:00,Anand Vihar (Delhi),Delhi,16.29,24.05,77.58,59.08,238.8
01-01-2025 14:00,Anand Vihar (Delhi),Delhi,9.11,25.58,61.71,38.53,175.5
01-01-2025 15:00,Anand Vihar (Delhi),Delhi,7.6,31.25,77.11,53.08,229.4
01-01-2025 16:00,Anand Vihar (Delhi),Delhi,14.37,37.44,110.16,89.04,301.3
01-01-2025 17:00,Anand Vihar (Delhi),Delhi,10.96,38.11,97.49,68.71,289.5
01-01-2025 18:00,Anand Vihar (Delhi),Delhi,15.41,34.71,145.14,96.02,399.9
01-01-2025 19:00,Anand Vihar (Delhi),Delhi,14.65,40.4,123.49,65.68,343.6
01-01-2025 20:00,Anand Vihar (Delhi),Delhi,15.61,38.32,86.93,69.29,320.1
01-01-2025 21:00,Anand Vihar (Delhi),Delhi,12.94,36.03,101.52,79.61,318.3
01-01-2025 22:00,Anand Vihar (Delhi),Delhi,11.5,33.18,98.83,78.5,300.4
01-01-2025 23:00,Anand Vihar (Delhi),Delhi,12.85,28.21,87.41,78.47,283.0
02-01-2025 00:00,Anand Vihar (Delhi),Delhi,12.94,37.55,109.91,54.78,254.4
02-01-2025 01:00,Anand Vihar (Delhi),Delhi,10.45,38.93,125.7,80.23,286.0
02-01-2025 02:00,Anand Vihar (Delhi),Delhi,8.35,30.47,61.07,62.09,226.9
